Year,S&P 500,Small Cap,T-Bill,10Y Treasury,Baa Corporate,Real Estate,Gold,Inflation,Cash,Portfolio_Return,Portfolio_Value,Portfolio_Drawdown,Bull,Bear,Crisis,Dominant_Regime,Decision_Mode,Decision_Explanation
2007,0.13128783524503226,0.03042352878876938,0.1252602456521003,0.0020040361172097886,0.05318430648401281,0.18002886277416874,0.2716895649117647,0.05538931961112008,0.15073230041555027,0.05728625454995697,1.9548542600959549,0.0,0.9996261849414732,4.5619871418142667e-212,0.0003738150585989739,Bull,Balanced,"In 2007, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Balanced behaviour. Cash allocation is 15.07%, realised portfolio return is 5.73%, and drawdown is 0.00%."
2008,0.3659430760037545,0.053400759910351106,0.06363469458379452,0.01692119467332197,0.35235000963968227,0.05987469212952222,0.023346591401113958,0.0051883674887802395,0.059340614169313306,-0.1727795628141613,1.617095395671175,-0.17277956281416126,1.1614833654241436e-12,3.145818026749147e-222,0.9999999999988631,Crisis,Risk-on / Invested,"In 2008, the dominant regime is Crisis (Bull: 0.0%, Bear: 0.0%, Crisis: 100.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 5.93%, realised portfolio return is -17.28%, and drawdown is -17.28%."
2009,0.4140868025032031,0.4233371539325131,0.029830501320116897,0.05025039321544263,0.029694533644295907,0.009491279044237706,0.01406859651644195,0.0007396834418239367,0.0285010563815014,0.278042480608778,2.066716610864622,0.0,2.1485009051744603e-07,5e-324,0.9999997851498623,Crisis,Risk-on / Invested,"In 2009, the dominant regime is Crisis (Bull: 0.0%, Bear: 0.0%, Crisis: 100.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 2.85%, realised portfolio return is 27.80%, and drawdown is 0.00%."
2010,0.04185118266717158,0.06515585448561644,0.008469144657636214,0.012198698590727725,0.817495495556488,0.021082292139182404,0.002662198201273788,0.0024083192764709762,0.028676814424615178,0.08674973980155576,2.246003739100681,0.0,1.7218773496304037e-08,6.634718190248548e-259,0.999999982781219,Crisis,Risk-on / Invested,"In 2010, the dominant regime is Crisis (Bull: 0.0%, Bear: 0.0%, Crisis: 100.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 2.87%, realised portfolio return is 8.67%, and drawdown is 0.00%."
2011,0.0682000482281729,0.1545454765553828,0.01380424887008282,0.013953427512688115,0.6588335504272742,0.04042171752031675,0.006442002878381008,0.0031305402283970975,0.04066898777864543,0.03258727207500664,2.3191948740282373,0.0,2.485187314505103e-11,5.379857205390387e-253,0.9999999999752163,Crisis,Risk-on / Invested,"In 2011, the dominant regime is Crisis (Bull: 0.0%, Bear: 0.0%, Crisis: 100.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 4.07%, realised portfolio return is 3.26%, and drawdown is 0.00%."
2012,0.08807182397138313,0.2110557543478547,0.03361282292569182,0.009040852992106566,0.4312362755526867,0.09590279736242147,0.03355766033433562,0.004719450611540722,0.09280256190154802,0.08503410777427793,2.5164055408959074,0.0,0.00011248531624348754,5.508478107785231e-232,0.9998875146837258,Crisis,Risk-on / Invested,"In 2012, the dominant regime is Crisis (Bull: 0.0%, Bear: 0.0%, Crisis: 100.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 9.28%, realised portfolio return is 8.50%, and drawdown is 0.00%."
2013,0.10596653559043279,0.18057836153551463,0.04122305511352566,0.000854219535279853,0.019362253474715433,0.2392542126253757,0.2463184052615667,0.023907775160258136,0.14253518170308485,0.06974665338877369,2.6919164059423637,0.0,0.7157654142470681,3.396460212013996e-295,0.2842345857530393,Bull,Balanced,"In 2013, the dominant regime is Bull (Bull: 71.6%, Bear: 0.0%, Crisis: 28.4%). The RL policy selected Balanced behaviour. Cash allocation is 14.25%, realised portfolio return is 6.97%, and drawdown is 0.00%."
2014,0.10967082942170696,0.10801542519633155,0.021158967734869236,0.06450623955220555,0.6022363067777262,0.051587759296863156,0.0037305853634379983,0.012826953750358472,0.026266932905898727,0.08294760521973246,2.915204425266992,0.0,0.9999999998346993,2.5378516467455034e-227,1.6520945533434828e-10,Bull,Risk-on / Invested,"In 2014, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 2.63%, realised portfolio return is 8.29%, and drawdown is 0.00%."
2015,0.005080774806001523,0.004219093536149147,0.0111352222727136,0.001655185112787799,0.9488651930552481,0.013170628117955805,0.003922778625398015,0.00010290628260075713,0.011848218190196332,-0.021334882766274623,2.8530088806141958,-0.0213348827662746,0.9999999999656666,8.116391045888895e-249,3.434443047907785e-11,Bull,Risk-on / Invested,"In 2015, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 1.18%, realised portfolio return is -2.13%, and drawdown is -2.13%."
2016,0.007162265795743002,0.003969022163991918,0.0035489986840227528,0.04979683357427719,0.9321679610369066,0.0018445851944571166,0.00011539792019214052,0.00016545082117445283,0.001229484808302762,0.0869293261773629,3.10101902018402,0.0,1.0,3.143123090578441e-231,1.7851885060974624e-21,Bull,Risk-on / Invested,"In 2016, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 0.12%, realised portfolio return is 8.69%, and drawdown is 0.00%."
2017,0.005006401854351389,0.004693588102106786,0.01636450394476577,0.0007226470876071293,0.938405410496882,0.010013415476310464,0.006077697461839812,8.607423843422396e-05,0.01863026133676412,0.06791885133984979,3.3116366700179456,0.0,1.0,2.9290392959374927e-221,9.681461965281698e-14,Bull,Risk-on / Invested,"In 2017, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 1.86%, realised portfolio return is 6.79%, and drawdown is 0.00%."
2018,0.008229318761251419,0.004643608380489244,0.07185889212234652,0.005013458021452616,0.7560603226776879,0.048431937651398096,0.045336716388527334,0.005491021470654861,0.05493472452543623,-0.03972457971793847,3.1800832951229694,-0.03972457971793848,0.9999999991482582,3.3463028785208184e-217,8.51668229340132e-10,Bull,Risk-on / Invested,"In 2018, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 5.49%, realised portfolio return is -3.97%, and drawdown is -3.97%."
2019,0.015632370917076893,0.0026605196926067515,0.0416937393415044,0.18227264098996226,0.7411351793493376,0.006813705810278706,0.0018880776817216062,0.003532710492591991,0.0043710557241784555,0.11208027429675568,3.5365079031268825,0.0,0.9999999999956799,1.3509768757332552e-181,4.410597410331939e-12,Bull,Risk-on / Invested,"In 2019, the dominant regime is Bull (Bull: 100.0%, Bear: 0.0%, Crisis: 0.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 0.44%, realised portfolio return is 11.21%, and drawdown is 0.00%."
2020,0.001089624787043478,0.0014635733222365386,0.013106053934151925,0.0012961614130555356,0.9595642279920965,0.00626777195095265,0.004267626788676403,0.0002339448199709075,0.012711014990856265,0.08969472908406492,3.8537140214015024,0.0,0.9987988116845855,3.860054801155786e-166,0.001201188315444353,Bull,Risk-on / Invested,"In 2020, the dominant regime is Bull (Bull: 99.9%, Bear: 0.0%, Crisis: 0.1%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 1.27%, realised portfolio return is 8.97%, and drawdown is 0.00%."
2021,0.003507875528209761,0.005409642752309967,0.04432131119932695,0.0009423950533671839,0.6313557719113498,0.09772471974323683,0.10684000823065531,0.005622015778894705,0.1042762598020181,-0.03711454150462265,3.71068519240725,-0.0371145415046227,2.918142968968216e-06,5.590813745143724e-239,0.9999970818570832,Crisis,Balanced,"In 2021, the dominant regime is Crisis (Bull: 0.0%, Bear: 0.0%, Crisis: 100.0%). The RL policy selected Balanced behaviour. Cash allocation is 10.43%, realised portfolio return is -3.71%, and drawdown is -3.71%."
2022,0.00627247066927578,0.0036851667224334387,0.0027542443303272186,0.005759295384777105,0.0084983860481275,0.14548830087919443,0.011730230837528556,0.8072311068696664,0.008580798257862272,0.044695374221143905,3.8765356556987496,0.0,3.5722777412995825e-17,0.0,1.0,Crisis,Risk-on / Invested,"In 2022, the dominant regime is Crisis (Bull: 0.0%, Bear: 0.0%, Crisis: 100.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 0.86%, realised portfolio return is 4.47%, and drawdown is 0.00%."
2023,0.039019237201111265,0.009248897787375115,0.004219931303330502,0.38907095164689676,0.003451125859713169,0.017269582642468168,0.0011672591015318816,0.5355001302556784,0.0010528842013591208,0.02940918350532513,3.9905414041621303,0.0,7.68489090213732e-10,0.0,0.999999999231477,Crisis,Risk-on / Invested,"In 2023, the dominant regime is Crisis (Bull: 0.0%, Bear: 0.0%, Crisis: 100.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 0.11%, realised portfolio return is 2.94%, and drawdown is 0.00%."
2024,0.10218123725951497,0.15119604782790286,0.0049822664456020994,0.2568013621963581,0.01080445766633562,0.034752528486525026,0.0031673172861188966,0.428676599869641,0.007438182961572646,0.03268638262962057,4.1209777673979175,0.0,3.016561179575518e-07,0.0,0.9999996983438451,Crisis,Risk-on / Invested,"In 2024, the dominant regime is Crisis (Bull: 0.0%, Bear: 0.0%, Crisis: 100.0%). The RL policy selected Risk-on / Invested behaviour. Cash allocation is 0.74%, realised portfolio return is 3.27%, and drawdown is 0.00%."
